,id,popularity,title,vote_average,vote_count
199,411088,34.687,The Invisible Guest,8.1,4082
200,895,15.307,Andrei Rublev,8.1,663
201,21634,11.798,Prayers for Bobby,8.1,517
202,24382,6.387,Big Deal on Madonna Street,8.1,610
203,239,26.921,Some Like It Hot,8.1,3029
204,397567,48.148,Along with the Gods: The Two Worlds,8.1,823
205,992,9.674,Sherlock Jr.,8.1,804
206,843,28.481,In the Mood for Love,8.1,2194
207,526702,15.021,Black Beauty,8.1,295
208,400608,9.389,Bo Burnham: Make Happy,8.1,328
209,38288,5.387,I corti,8.1,334
210,12445,89.571,Harry Potter and the Deathly Hallows: Part 2,8.1,18687
211,9702,33.415,Bound by Honor,8.1,1056
212,3780,10.589,Red Beard,8.1,275
213,347688,12.878,Scooby-Doo! and KISS: Rock and Roll Mystery,8.1,269
214,149871,15.285,The Tale of The Princess Kaguya,8.1,1490
215,17663,19.387,Anne of Green Gables,8.1,214
216,81481,19.551,Silenced,8.1,485
217,832,19.894,M,8.1,1825
218,38,36.82,Eternal Sunshine of the Spotless Mind,8.1,13332
219,46738,27.408,Incendies,8.1,2193
220,655,17.936,"Paris, Texas",8.1,1462
221,103663,19.515,The Hunt,8.1,3561
222,7345,19.971,There Will Be Blood,8.1,5688
223,280,59.088,Terminator 2: Judgment Day,8.1,11295
224,359940,21.595,"Three Billboards Outside Ebbing, Missouri",8.1,9173
225,663558,29.425,New Gods: Nezha Reborn,8.1,349
226,334543,18.237,Lion,8.1,6045
227,4348,44.356,Pride & Prejudice,8.1,7117
228,571265,26.735,Digimon Adventure: Last Evolution Kizuna,8.1,211
229,62,34.752,2001: A Space Odyssey,8.1,10192
230,146233,42.473,Prisoners,8.1,10286
231,337404,112.308,Cruella,8.1,8168
232,387,18.939,Das Boot,8.1,1894
233,638507,35.544,How to Train Your Dragon: Homecoming,8.1,805
234,10681,56.489,WALL·E,8.1,16969
235,406,19.629,La Haine,8.1,3424
236,529531,7.259,Hannah Gadsby: Nanette,8.1,248
237,147,10.943,The 400 Blows,8.1,1844
238,7347,28.335,Elite Squad,8.1,2035
239,8392,50.321,My Neighbor Totoro,8.1,6815
240,610461,7.959,"Veinteañera, Divorciada y Fantástica",8.1,372
241,437068,18.939,A Taxi Driver,8.1,773
242,118662,4.927,Decalogue I,8.1,201
243,11645,13.21,Ran,8.1,1280
244,11423,25.041,Memories of Murder,8.1,3163
245,42229,9.583,A Special Day,8.1,566
246,11659,10.862,The Best of Youth,8.1,461
247,8422,12.304,Rocco and His Brothers,8.1,476
248,1955,20.879,The Elephant Man,8.1,3018
249,893941,5.921,Misfit,8.1,207
250,515001,36.198,Jojo Rabbit,8.1,8396
251,381284,50.126,Hidden Figures,8.1,8625
252,55960,7.865,"Toto, Peppino, and the Hussy",8.1,306
253,120467,29.083,The Grand Budapest Hotel,8.1,13356
254,615457,59.604,Nobody,8.1,5822
255,538362,10.091,On My Skin,8.1,1782
256,780,14.177,The Passion of Joan of Arc,8.1,777
257,449176,20.077,"Love, Simon",8.1,5642
258,400928,65.627,Gifted,8.1,4795
259,785534,14.45,Paper Lives,8.1,314
260,26022,19.087,My Name Is Khan,8.1,1143
261,310569,8.702,The Second Mother,8.1,655
262,5801,11.683,Pather Panchali,8,326
263,678580,13.823,El mesero,8,335
264,282848,6.734,Doctor Who: The Time of the Doctor,8,261
265,115929,9.075,Cool Kids Don't Cry,8,241
266,821,13.401,Judgment at Nuremberg,8,643
267,785084,145.925,The Whale,8,2217
268,339877,14.465,Loving Vincent,8,2235
269,522518,37.01,A Dog's Journey,8,1302
270,9764,14.117,Dersu Uzala,8,427
271,800,10.911,The Young and the Damned,8,407
272,582,13.01,The Lives of Others,8,3201
273,279,22.005,Amadeus,8,3685
274,574074,7.196,Kitbull,8,301
275,1091,38.316,The Thing,8,5973
276,264644,17.513,Room,8,8489
277,106646,143.121,The Wolf of Wall Street,8,21532
278,20530,11.372,Late Spring,8,321
279,1396,12.405,Mirror,8,784
280,641,12.429,Requiem for a Dream,8,8858
281,429210,7.08,Bingo: The King of the Mornings,8,339
282,962,10.519,The Gold Rush,8,1360
283,19426,13.1,Nights of Cabiria,8,641
284,14,23.512,American Beauty,8,10966
285,19542,11.252,The Red Shoes,8,522
286,938,21.425,For a Few Dollars More,8,3414
287,37793,8.151,Ghosts,8,212
288,521,16.782,Dial M for Murder,8,2231
289,204,14.881,The Wages of Fear,8,748
290,455661,7.944,In a Heartbeat,8,943
291,714888,21.696,"Argentina, 1985",8,437
292,28978,10.868,The Circus,8,678
